mac:b8ca.3a97.6645----info['172.17.111.54', '2015-02-10', 'Vlan226', 'agcn1-wkeng214']
mac:b8ca.3a97.5ff5----info['172.17.103.183', '2015-02-10', 'Vlan212', 'agcn1-wkeng212']
mac:b8ca.3ac6.a8c5----info['172.17.101.120', '2015-02-10', 'Vlan211', 'agcn1-laptop53']
mac:acf7.f346.e463----info['172.17.10.99', '2015-02-10', 'Vlan220', 'null']
mac:100b.a936.f79c----info['172.17.105.76', '2015-02-10', 'Vlan215', 'agcn1-laptop45']
mac:3417.ebd1.22a8----info['172.17.110.113', '2015-02-10', 'Vlan225', 'agcn1-wkeng312']
mac:000c.290c.198b----info['172.17.101.21', '2015-02-10', 'Vlan211', 'null']
mac:000c.29b8.4d17----info['172.17.101.25', '2015-02-10', 'Vlan211', 'null']
mac:0018.0a34.d57c----info['172.17.6.23', '2015-02-10', 'Vlan203', 'null']
mac:0004.f22c.761f----info['172.17.4.5', '2015-02-10', 'Vlan204', 'null']
mac:8056.f23a.f5ab----info['172.17.105.88', '2015-02-10', 'Vlan215', 'agcn1-laptop61']
mac:f8b1.569f.3fb3----info['172.17.105.123', '2015-02-10', 'Vlan215', 'agcn1-wkeng240']
mac:b8ca.3a7f.8b23----info['172.17.103.191', '2015-02-10', 'Vlan212', 'agcn1-wkeng185']
mac:8cae.4cec.1ecb----info['172.17.53.85', '2015-02-10', 'Vlan209', 'agcn1-laptop87']
mac:3417.ebc5.2284----info['172.17.105.167', '2015-02-10', 'Vlan215', 'agcn1-wkeng282']
mac:000c.29fc.7bed----info['172.17.101.38', '2015-02-10', 'Vlan211', 'null']
mac:bc30.5ba7.d8d0----info['172.17.7.51', '2015-02-10', 'Vlan201', 'agcn1-wkeng135']
mac:3417.ebb1.0667----info['172.17.101.209', '2015-02-10', 'Vlan211', 'agcn1-wkeng280']
mac:f8b1.56d0.1a50----info['172.17.101.133', '2015-02-10', 'Vlan211', 'agcn1-wkeng242']
mac:f8b1.569f.4021----info['172.17.103.186', '2015-02-10', 'Vlan212', 'agcn1-wkeng241']
mac:f027.655a.9ddb----info['172.17.103.100', '2015-02-10', 'Vlan212', 'null']
mac:685b.35aa.714a----info['172.17.53.68', '2015-02-10', 'Vlan209', 'null']
mac:1803.7331.317c----info['172.17.105.164', '2015-02-10', 'Vlan215', 'agcn1-wkeng149']
